State,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,,Upload Year,The Institute Added In Survey Year
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","ANJALI INSTITUTE OF MANAGEMENT AND SCIENCE, AGRA (Id: C-15311)",Affiliated College,"AGRA-FIROZABAD ROAD, NH-2, ETMADPUR, AGRA, AGRA-FIROZABAD ROAD, NH-2, ETMADPUR, AGRA, AGRA",www.aimsagra.in,Private Un-Aided,2000,Education/Teacher Education,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","ARYAN INSTT. OF MANAG. & COMP. STUDIES,AGRA (Id: C-15384)",Affiliated College,"SECTOR 13 AVAS VIKAS COLONY, SIKANDRA BODLA ROAD, AGRA",www.aryaninstitute.com,Private Un-Aided,1999,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",AVM GIRLS INSTITUTE (Id: C-52629),Affiliated College,"SAWAIN BHAWAI ROAD ETMADPUR AGRA, SAWAIN BHAWAI ROAD ETMADPUR AGRA, AGRA",,University,2013,No,Rural,,2018,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","AWADHESH KUMAR MAHAVIDYALAYA JAMALNAGAR BHAINS, AGRA (Id: C-57415)",Affiliated College,"AWADHESH KUMAR MAHAVIDYALAYA JAMALNAGAR BHAINS, AGRA, AWADHESH KUMAR MAHAVIDYALAYA JAMALNAGAR BHAINS, AGRA, agra",,Private Un-Aided,2015,No,Rural,,2018,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",BABA SAHIB DR. B.R.AMBEDKAR  COLLEGE OF PHYSICAL EDUCATION (Id: C-15165),Affiliated College,"VILL-PAURI,, PO-RAIPURA JAT, MATHURA",www.bsbracpe.org,Private Un-Aided,1999,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",BABU RAM CHAND CHEMELI KIRAN AGRASEN MAHAVI.KAGAROL AGRA (Id: C-15238),Affiliated College,"KHERAGARH ROAD KAGAROL,AGRA, KHERAGARH ROAD KAGAROL ,AGRA, AGRA",www.brckakanyamahavidhyalaya.in,Private Un-Aided,2008,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","BALMUKAND BAZARI COLLEGE OF EDUCATION ARTONI, AGRA (Id: C-15298)",Affiliated College,"Near Runkata Railway Station, Post- Artoni, Runkata, Agra",www.bmbcollage.co.in,Private Un-Aided,2011,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",BALWANT VIDYA PEETH RURAL INSTT.BICHPURI AGRA (Id: C-15452),Affiliated College,"PRINCIPAL, B.V.R.I., BICHPURI,, AGRA",www.bvri.in,State Government,1956,Arts,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","B.D.K MAHAVIDYALAYA, AGRA (Id: C-15235)",Affiliated College,"BAIKUNTHI DEVI KANYA MAHAVIDYALAYA,, BALUGANJ, AGRA",www.bdkmvagra.co.in,Private Aided,1967,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","B.D.M. KANYA DEGREE COLLEGE, AGRA (Id: C-15092)",Affiliated College,"BAG COLONY FATEHABAD AGRA, FATEHABAD AGRA, AGRA",www.bdmcollegefatehabad.com,Private Un-Aided,2011,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","BHADAVAR VIDHYA MANDIR MAHAVIDHYALAY,AGRA (Id: C-15303)",Affiliated College,"AGRA ROAD, BAH, BAH",www.bvmcollegebah.com,Private Aided,1969,Arts,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","BHORE NATHHI LAL MUDGAL DEGREE COLLEGE, IRADAT NAGAR (Id: C-54854)",Affiliated College,"VILL & POST KHEDIYA THANA IRADATNAGR BLOCK SAIYAN, VILL & POST KHEDIYA THANA IRADATNAGR BLOCK SAIYAN, AGRA",WWW.BNLMDEGREECOLLEGE.COM,Private Un-Aided,2014,No,Rural,,2020,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",B.L EDUCATIONAL INSTITUTE  (Id: C-56005),Affiliated College,"NEAR TOLL PLAZA BAROS, NAGLA NEEM HATHRAS ROAD KHANDAULI AGRA, AGRA",www.bleinstitute@gmail.com,Private Un-Aided,2014,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",B.M DEGREE COLLEGE (Id: C-61195),Affiliated College,,,,,,,,NO,2018
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",BOHRE PATIRAM DEGREE COLLEGE (Id: C-54843),Affiliated College,"GARHI SAHJA, AGARPUR, POST ARELA , ETMADPUR, AGRA",www.bohrepatiramdegreecollege.com,Private Un-Aided,2014,No,Rural,,2020,2015
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",B R COLLEGE (Id: C-61142),Affiliated College,"Vill & Post Beerai, Saiyan, NH-3,, Agra",www.brcollege.net,Private Un-Aided,2016,No,Rural,,2020,2018
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",B V M COLLEGE OF SCIENCE AND TECHNOLOGY (Id: C-56001),Affiliated College,,,,,,,,NO,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","C B S COLLEGE, AGRA (Id: C-63827)",Affiliated College,"POIYA, PILI POKHAR, AGRA",www.cbscollegeagra.com,Private Un-Aided,2018,B.Sc.Biotechnology,Rural,,2019,2019
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","CHACHA VISHAL SINGH KANYA MAHAVIDHYALYA, AGRA (Id: C-15424)",Affiliated College,"CHACHA VISHAL SINGH KANYA MAHAVIDHYALYA, AGRA, CHACHA VISHAL SINGH KANYA MAHAVIDHYALYA, AGRA, agra",cvscollege.in,Private Un-Aided,2007,No,Urban,,2019,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","CHAUDHARY RAGHUNATH SINGH MAHAVIDYALAYA FATEHPUR SIKARI ROAD KIRAWALI,AGRA (Id: C-15220)",Affiliated College,"nagala bharawati f. sikari agra, FATEHPUR SIKRI ROAD KIRAOLI AGRA, Agra",WWW.chrscollege.com,Private Un-Aided,2005,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","CH.CHARAN SINGH CHAHARVATI COLLEGE AKOLA,AGRA (Id: C-15078)",Affiliated College,"AKOLA, AKOLA, AGRA",,Private Un-Aided,1993,No,Rural,,2017,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",CH. KSHETRAPAL SINGH EDUCATIONAL INSTITUTE (Id: C-56535),Affiliated College,"CH. KSHETRAPAL SINGH EDUCATIONAL INSTITUTE, Agra",,Private Un-Aided,2015,No,Rural,,2017,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","CHODHARY KIRAN ACADEMY, FATHEPUR SIKARI ROAD, KIRAWALI, AGRA (Id: C-47639)",Affiliated College,"FATHEPUR SIKARI ROAD, KIRAWALI, AGRA, FATHEPUR SIKARI ROAD, KIRAWALI, AGRA, AGRA",www.chka.in,Private Un-Aided,2012,Law,Rural,,2020,2012
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","C-IMPACT INST., AGRA MATHURA ROAD SIKENDRA, AGRA (Id: C-15513)",Affiliated College,"20 KM STONE, BEHIND GOKULAM WATER PARK, NATIONAL HIGHWAY-2, AGRA",www.cimpactinstitute.com,Private Un-Aided,1998,Education/Teacher Education,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",C.S MEMORIAL DEGREE COLLEGE BAS BADAM ETMADPUR AGRA (Id: C-15223),Affiliated College,"BAS BADAM BAHARAMPUR ETMADPUR AGRA (U.P), BAS BADAM BAHARAMPUR ETMADPUR AGRA, AGRA",csmcollege.org,University,2009,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","DAYANAD ARYA VEDIK DEGREE COLLEGE KUNDAUL,AGRA (Id: C-15355)",Affiliated College,"vill+post - kundol , dist - Agra, kundol dauki agra up, Agra",www.davkundol.com,Private Un-Aided,2003,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","D.E.(P.G.) COLLEGE, TUNDLA ROAD, NH-2, AGRA (Id: C-15203)",Affiliated College,"TUNDLA ROAD, AGRA",www.depgcollege.org,Private Un-Aided,2010,No,Rural,,2018,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","DEV COLLEGE BARHAN ETMADPUR, AGRA (Id: C-15152)",Affiliated College,"BARHAN, AGRA",,Private Un-Aided,2007,No,Rural,,2018,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",DEV EDUCATION COLLEGE BARHAN AGRA (Id: C-15187),Affiliated College,"BARHAN, AGRA",,Private Un-Aided,2004,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",DIGAMBARAYA EDUCATIONAL INSTITUTE (Id: C-57011),Affiliated College,"VIDHYA NIKETAN FOUNDRY NAGAR AGRA, AGRA",www.digambarayaedu.com,Private Un-Aided,2011,No,Urban,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","Dr. Bhanu Pratap Singh Mahavishyalya Bakal Pur Road, Shamshabad road, Agra (Id: C-15104)",Affiliated College,"VILL BAKALPUR POST SHAMSABAD, TEHSIL FATEHABAD, AGRA",www.drbpscollege.com,Private Un-Aided,2011,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",DR B P S COLLEGE OF LAW BAKALPUR SHAMSABAD ROAD AGRA (Id: C-63831),Affiliated College,"VILL BAKALPUR POST SHAMSABAD, AGRA, AGRA",www.drbpscollege.com,Private Un-Aided,2012,No,Rural,,2019,2019
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","DR. M.P.S.MEMORIAL COLLEGE OF BUSINESS STUDIES,AGRA DELHI HIGHWAY,SIKANDRA AGRA (Id: C-15537)",Affiliated College,"AGRA - DELHI HIGHWAY, NEAR NAVEEN SABJI MANDI, SIKANDRA, AGRA, AGRA",www.mpsgroup.org.in,Private Un-Aided,2005,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",D S COLLEGE OF LAW (Id: C-54840),Affiliated College,"TOR IRADAT NAGAR, IRADAT NAGAR",,Private Un-Aided,2014,No,Rural,,2020,2015
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",D S EDUCATIONAL INSTITUTE (Id: C-60429),Affiliated College,"TOR IRADAT NAGAR, IRADAT NAGAR",,Private Un-Aided,2018,No,Rural,,2020,2018
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",DVS COLLEGE (Id: C-63016),Affiliated College,"DVS  COLLEGE MUDHI JHANGEERPUR  , PLOT NO 145 POST HASANPUR, KHANDAULI AGRA",www.dvscollegeagra.com,Private Un-Aided,2018,No,Rural,,2020,2019
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","ESS.ESS COLLEGE OF EDUCATION, DAYALBAGH, AGRA (Id: C-15475)",Affiliated College,"134, Khaspur, Dayalbagh, Agra",www.essesscollegeofeducation.com,Private Un-Aided,2011,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","EXCELLENT DEGREE COLLEGE FATEHPUR SIKARI ROAD,AGRA (Id: C-15420)",Affiliated College,"EXCELLENT DEGREE COLLEGE,DAKSHINI BYE PASS,, FATEHPUR SIKARI ROAD,LARAMADA, AGRA",www.excellentsociety.in,Private Un-Aided,2003,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",G L TEACHERS EDUCATIONAL INSTITUTE (Id: C-59671),Affiliated College,"Vill. Post. Panwari, Sikandra, Agra, Agra",,Private Un-Aided,2016,No,Urban,,2020,2017
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",GOPAL DASS MEMO. EDUCATIONAL INSTT. AGRA (Id: C-15160),Affiliated College,"CHAMROLI AGRA, CHAMROLI AGRA, AGRA",www.gdmei.org.in,Private Un-Aided,2008,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",GOVT. MAHAVIDHYALAYA FATEHABAD.AGRA (Id: C-15335),Affiliated College,"Govt.P.G.College Fatehabad Agra, Agra, Fatehabad",WWW.gpgcfatehabdagra.com,State Government,2004,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","GREEN AGRA MAHAVIDYALAYA PILI POKHAR MAHAMAYA NAGAR ROAD, AGRA (Id: C-15508)",Affiliated College,"ABIDGARH POST TARRAKPUR, HATHRAS ROAD AGRA, AGRA",www.gama.org,Private Un-Aided,2008,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","G S A COLLEGE OF EDUCATION, MAHUA KHERA (Id: C-54824)",Affiliated College,"AGRA, AGRA, MAHUA KHARA",www.gsacollege.com,Private Un-Aided,2014,No,Rural,,2020,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",GURU NIRANJAN MAHAVIDYALAYA LUHENTA MOD IRADAT NAGAR AGRA (Id: C-15511),Affiliated College,"LUHETA MODE IRADAT NAGAR AGRA, AGRA",www.gnncollege.org.in,Private Un-Aided,2008,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",Gyan Bharti College of Education (Id: C-57552),Affiliated College,"OPP. NALANDA TOWN, SHAMSHABAD ROAD AGRA, AGRA",gyanbharticolleges.org,Private Un-Aided,2016,No,Urban,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","GYATRI MAHAVIDYALAYA MUDI JAHAGIRPURI KHANDHAVLI, AGRA (Id: C-15230)",Affiliated College,"MURHI JAHANGIR PUR, KHANDAULI, AGRA",www.gayatrimahavidhyalaya.com,Private Un-Aided,2008,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",HERITAGE BUSINESS COLLEGE (Id: C-56573),Affiliated College,"BAMRAULI KATARA, FATEHABAD ROAD, AGRA",http://heritagebusinesscollege.com,Private Un-Aided,2014,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",HOTI LAL INSTITUTE OF EDUCATION BAS BODIYA ETMADPUR AGRA (Id: C-67192),Affiliated College,,,,,,,,NO,2021
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","INCREDIBLE INSTITUTE OF MANAGEMENT & TECHNOLOGIES, ACHHNERA, AGRA (Id: C-15558)",Affiliated College,"BICHPURI ROAD ACHHNERA AGRA, BICHPURI ROAD ACHHNERA AGRA, AGRA",www.iimt.edu.in,Private Un-Aided,2008,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",Institute of Mental Health and Hospital (Id: C-52358),Affiliated College,"OLD MATHJURA ROAD, OPP. BILLOCHPURA, Agra",www.imhh.org.in,State Government,1859,Medical-Others,Urban,,2015,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",JAI SHRI SANKAT MOCHAN SHIKSHAN SANSTHAN (Id: C-51263),Affiliated College,"BAMRAULI KATARA, AGRA, AGRA",www.jssmcollege.com,Private Un-Aided,2014,No,Rural,,2020,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","J.R. COLLEGE, NAGLA DHAMLA, SEMARA ROAD, KHANDHOLI (Id: C-52392)",Affiliated College,"NAGLA DHAMALI,SEMRA ROAD, KHANDOLI, AGRA",www.jrcollege.org,Private Un-Aided,2014,No,Rural,,2017,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","J.S. DEGREE COLLEGE, Nagla Hatti (Id: C-56994)",Affiliated College,"19 SHANKERPURI, KEDAR NAGAR SHAHGANJ, AGRA",,Private Un-Aided,2015,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","Kala Degree College, Karodhana, Devri Road (Id: C-54857)",Affiliated College,"Karodhana, Devri Road,Agra, Agra",,Private Un-Aided,2014,No,Rural,,2018,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KEHARIMAL GAUTAM SMARAK MAHAVIDYALAYA,NANGLA SARUA , ALIGARH (Id: C-15557)",Affiliated College,"KEHARIMAL GAUTAM SMARAK MAHAVIDYALAYA,NANGLA SARUA , ALIGARH, aligarh",,University,2003,No,Rural,,2019,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","Kela Devi Institute, Karondna, Devri Iradat Nagar Road (Id: C-54855)",Affiliated College,"Karodhana, Devri Iradat Nagar, Agra",www.kdinstitute.net,Private Un-Aided,2014,No,Rural,,2020,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",K G INSTITUTE OF EDUCATION (Id: C-62086),Affiliated College,"KHERAGARH ROAD KAGAROL AGRA, AGRA",www.kgioe.org,Private Un-Aided,2015,Education/Teacher Education,Rural,,2020,2019
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KHAJAN SINGH GIRLS DEGREE COLLEGE, KAGAROL (Id: C-54868)",Affiliated College,"VILLAGE KAGAROL, POST KAGAROL, AGRA",www.ksgdc.co.in,Private Un-Aided,2013,No,Rural,,2020,2015
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KISHON DILEEP SINGH BHAGAL MEMORIAL DEGREE COLLEGE, NAGLA, BRIJ DHANOLI, AGRA (Id: C-15422)",Affiliated College,"NAGLA LEKHRAJ, DHANOLI, JAGNER ROAD, AGRA",www.kdsbaghelcollege.com,University,2011,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","K.P.INSTITUTE OF PFOFESSIONAL STUDIES ETMADPUR, AGRA (Id: C-15462)",Affiliated College,"NH-2 Agra-Firozabad Road, Etmadpur, Agra",www.kpgi.in,Private Un-Aided,2010,Management,Rural,,2018,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",K R EDUCATIONAL INSTITUTE  (Id: C-56330),Affiliated College,"NH-2 RUNKATA, AGRA, AGRA",,Private Un-Aided,2013,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KRISHNA ACADEMY BICHPURI ROAD, BICHPURI, AGRA (Id: C-15497)",Affiliated College,"BICHPURI, AGRA",www.krishnaacademy.com,Private Un-Aided,2005,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",KRISHNA COLLEGE OF SCIENCE & TECH. BAMRAULI KATARA AGRA (Id: C-15301),Affiliated College,"FATEHABAD ROAD, BAMRAULI KATARA, AGRA",www.krishnacollegegroup.org,Private Un-Aided,2000,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KRISHNA COLLEGE OF SPORTS & EDUCATION, BAMRAULI KATARA, AGRA (Id: C-15370)",Affiliated College,"46/3 KHA SAMUGARH ROAD, BAMROLI KATARA, AGRA",http://www.krishnaeducation.org,Private Un-Aided,2003,Education/Teacher Education,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","KUNAL PROFFESSIONAL EDUCATIONAL ACADEMY, TEHRA, AGRA (Id: C-15572)",Affiliated College,"NH-3, TEHRA GWALIOR, AGRA, AGRA",www.kpeaagra.org,Private Un-Aided,2010,No,Rural,,2016,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",LAXMI NARAYAN ATARRANI EDUCATIONAL INSTITUTE  (Id: C-57467),Affiliated College,"488,531, KURRA CHITTARPUR, AGRA",,Private Un-Aided,2014,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MAA DURGA COLLEGE,SHASTRI PURAM,AGRA (Id: C-15431)",Affiliated College,"SHASTRIPURAM, AGRA, AGRA",www.maadurgacollege.com,Private Un-Aided,2006,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","Maa Sadhana Degree College, Runkata, Agra (Id: C-55105)",Affiliated College,"RUNKATA, AGRA, RUNKATA, AGRA, AGRA",www.msdcagra.com,Private Un-Aided,2015,No,Rural,,2020,2015
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MADAN MOHAN SMARAK, MAHAVIDYALAYA RUNKATA, AGRA (Id: C-15444)",Affiliated College,,,,,,,,NO,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MAHARANA PRATAP COLLEGE OF EDUCATION MANGURA KIRAWALI AGRA (Id: C-51262),Affiliated College,"MANGURA KIRAWALI AGRA, MANGURA KIRAWALI AGRA, AGRA",www.mpdcollege.com,Private Un-Aided,2014,No,Rural,,2020,2013
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MAHARANA PRATAP DEGREE COLLEGE, MANGURA KIRAWALI (Id: C-54906)",Affiliated College,"MANGURA KIRAWALI AGRA, MANGURA KIRAWALI AGRA, AGRA",www.mpdcollege.in,Private Un-Aided,2014,No,Rural,,2020,2015
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MANORAMA INSTITUTE OF MANAGEMENT & TECH. LADAMADA, AGRA (Id: C-15237)",Affiliated College,"LADAMADA, FATEHPUR SIKRI ROAD, AGRA",http://www.manoramainst.com,Private Un-Aided,2011,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MATA BASANTI SCHOOL OF BIOSCIENCE AND BIOTECHNOLOGY, AGRA (Id: C-15194)",Affiliated College,"EH-2, Block-D, EPIP, (Near Sunari), Shastripuram, Sikandra, Agra",www.matabasantidevicollege.com,Private Un-Aided,2004,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MATA BHAGATI DEVI GOVT. GIRLS DEGREE COLLEGE AWALKHERA AGRA (Id: C-15400),Affiliated College,"JALESAR ROAD AGRA, JALESAR ROAD AGRA, ANWALKHERA",http://www.ggdcanwalkhera-agra.org,State Government,1996,Arts,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MATA JHANDEWALAN EDUCATION (Id: C-52370),Affiliated College,"BAINPUR, SIKANDRA, AGRA, AGRA",matajhandewalaneducation.com,Private Un-Aided,2014,No,Urban,,2020,2014
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MATA SURAJ MUKHI GIRLS DEGREE COLLEGE OF COMMERCE & ECONOMICS SHADARA, AGRA (Id: C-15403)",Affiliated College,"NH-2, AGRA-FIROZABAD BYE PASS ROAD, SHAHDARA CHUNGI, AGRA",www.msgdegreecollege.com,Private Un-Aided,2006,No,Urban,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","MAYA DEVI MAHAVIDYALAYA, MUKHVAR BARHEN,AGRA (Id: C-47634)",Affiliated College,"MAYA DEVI MAHAVIDYALAYA, MUKHVAR BARHEN,AGRA, Agra",,Private Un-Aided,2012,No,Rural,,2019,2012
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","M.D.COLLEGE LAWYERS COLONY, BYE PASS ROAD, AGRA (Id: C-15556)",Affiliated College,"BABARPUR, SIKANDRA AGRA, AGRA",www.mdcollegeagra.com,Private Un-Aided,2002,No,Urban,,2014,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MDP College of Education  (Id: C-57312),Affiliated College,"GARHI GUSAI, FATEHABAD ROAD, AGRA",www.mdpeducation.com,Private Un-Aided,2015,No,Rural,,2020,2016
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MEVARAM HARIPRASAD MAHAVIDHYALAY BASAI ARELA PINAHAT AGRA (Id: C-65228),Affiliated College,"BASAI ARELA, ARNOTA, BAH",,Private Un-Aided,2020,No,Rural,,2020,2020
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",MOTI LAL RAM NATH MAHAVIDYALAYA BHADURALI BAH AGRA (Id: C-15333),Affiliated College,"BHADARAULI, BAH, AGRA",www.mrmahavidyalaya.com,Private Un-Aided,2009,No,Rural,,2020,2010
Uttar Pradesh,Agra,State Public University ,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",M.S.R. COLLEGE OF EDUCATION (Id: C-57472),Affiliated College,"TANKI NAGAR, DAUKI FATEHABAD, AGRA",www.msrcollege.in,Private Un-Aided,2015,No,Rural,,2020,2016
